MD,ELECT_DENS,TEMP,Oxi,Nit,Hyd,Hel,O2,NO
-606.0,12997,763,565,23,351,60,0,0
-608.0,12861,763,560,23,356,61,0,0
-610.0,12727,763,555,24,360,62,0,0
-612.0,12594,763,549,24,365,62,0,0
-614.0,12464,763,544,24,370,63,0,0
-616.0,12336,763,539,24,374,63,0,0
-618.0,12209,763,533,24,379,64,0,0
-620.0,12085,763,528,24,384,64,0,0
-622.0,11962,763,523,24,389,65,0,0
-624.0,11841,763,517,24,393,65,0,0
-626.0,11721,763,512,24,398,66,0,0
-628.0,11604,763,507,24,403,66,0,0
-630.0,11487,763,501,24,407,67,0,0
-632.0,11373,763,496,24,412,67,0,0
-634.0,11260,763,491,25,417,68,0,0
-636.0,11149,763,485,25,421,68,0,0
-638.0,11039,763,480,25,426,69,0,0
-640.0,10931,763,475,25,431,69,0,0
-642.0,10824,763,470,25,435,70,0,0
-644.0,10719,763,464,25,440,70,0,0
-646.0,10615,763,459,25,445,71,0,0
-648.0,10513,763,454,25,449,71,0,0
-650.0,10412,763,449,25,454,72,0,0
-652.0,10313,763,444,25,459,72,0,0
-654.0,10215,763,438,25,463,73,0,0
-656.0,10118,763,433,25,468,73,0,0
-658.0,10022,763,428,25,473,74,0,0
-660.0,9928,763,423,25,477,74,0,0
-662.0,9835,763,418,25,482,75,0,0
-664.0,9743,763,413,25,486,75,0,0
-666.0,9653,763,408,26,491,76,0,0
-668.0,9563,763,403,26,496,76,0,0
-670.0,9475,763,398,26,500,76,0,0
-672.0,9388,763,393,26,505,77,0,0
-674.0,9302,763,388,26,509,77,0,0
-676.0,9218,763,383,26,514,78,0,0
-678.0,9134,763,378,26,518,78,0,0
-680.0,9051,763,373,26,522,79,0,0
-682.0,8970,763,369,26,527,79,0,0
-684.0,8890,763,364,26,531,79,0,0
-686.0,8810,763,359,26,535,80,0,0
-688.0,8732,763,354,26,540,80,0,0
-690.0,8655,763,350,26,544,80,0,0
-692.0,8578,763,345,26,548,81,0,0
-694.0,8503,763,341,26,552,81,0,0
-696.0,8429,763,336,26,557,82,0,0
-698.0,8355,763,332,26,561,82,0,0
-700.0,8283,763,327,26,565,82,0,0
-702.0,8211,763,323,26,569,83,0,0
-704.0,8140,763,319,26,573,83,0,0
-706.0,8070,763,314,26,577,83,0,0
-708.0,8002,763,310,26,580,83,0,0
-710.0,7933,763,306,26,584,84,0,0
-712.0,7866,763,302,26,588,84,0,0
-714.0,7800,763,298,26,592,84,0,0
-716.0,7734,763,294,26,595,85,0,0
-718.0,7669,763,291,26,599,85,0,0
-720.0,7605,763,287,26,602,85,0,0
-722.0,7542,763,283,26,606,86,0,0
-724.0,7480,763,280,26,609,86,0,0
-726.0,7418,763,276,26,612,86,0,0
-728.0,7357,763,273,26,616,86,0,0
-730.0,7297,763,269,26,619,87,0,0
-732.0,7237,763,266,26,622,87,0,0
-734.0,7178,763,263,25,625,87,0,0
-736.0,7120,763,260,25,628,87,0,0
-738.0,7063,763,256,25,630,88,0,0
-740.0,7006,763,253,25,633,88,0,0
-742.0,6950,763,251,25,636,88,0,0
-744.0,6895,763,248,25,639,88,0,0
-746.0,6840,763,245,25,641,89,0,0
-748.0,6786,763,242,25,644,89,0,0
-750.0,6733,763,240,25,646,89,0,0
-752.0,6680,763,237,25,648,89,0,0
-754.0,6627,763,235,25,651,90,0,0
-756.0,6576,763,232,25,653,90,0,0
-758.0,6525,763,230,25,655,90,0,0
-760.0,6474,763,228,25,657,90,0,0
-762.0,6424,763,225,25,659,91,0,0
-764.0,6375,763,223,25,661,91,0,0
-766.0,6326,763,221,25,663,91,0,0
-768.0,6278,763,219,25,665,91,0,0
-770.0,6231,763,217,25,667,91,0,0
-772.0,6184,763,215,25,669,92,0,0
-774.0,6137,763,213,25,671,92,0,0
-776.0,6091,763,211,25,672,92,0,0
-778.0,6045,763,209,25,674,92,0,0
-780.0,6000,763,207,24,676,93,0,0
-782.0,5956,763,205,24,678,93,0,0
-784.0,5912,763,203,24,679,93,0,0
-786.0,5868,763,202,24,681,93,0,0
-788.0,5825,763,200,24,682,94,0,0
-790.0,5783,763,198,24,684,94,0,0
-792.0,5741,763,196,24,685,94,0,0
-794.0,5699,763,195,24,687,94,0,0
-796.0,5658,763,193,24,688,95,0,0
-798.0,5617,763,191,24,690,95,0,0
-800.0,5577,763,190,24,691,95,0,0
-802.0,5537,763,188,24,693,95,0,0
-804.0,5497,763,187,24,694,95,0,0
-806.0,5458,763,185,24,696,96,0,0
-808.0,5420,763,183,24,697,96,0,0
-810.0,5381,763,182,24,698,96,0,0
-812.0,5344,763,180,24,700,96,0,0
-814.0,5306,763,179,24,701,97,0,0
-816.0,5269,763,177,24,702,97,0,0
-818.0,5233,763,176,24,704,97,0,0
-820.0,5196,763,174,23,705,97,0,0
-822.0,5160,763,173,23,706,97,0,0
-824.0,5125,763,171,23,707,98,0,0
